,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,RSI_14,signal,position,trade,strategy_return,strategy_equity,buy_hold
2008-08-29,1.4693,1.4766,1.464,1.4671,-0.0017690685173844,-0.0017706351670404,0.1339465141443803,1.1339465141443803,1.2363580151491729,-0.03122999425230037,1.4917099999999999,1.540988,38.156484458735285,0,0.0,0.0,-0.0,1.0638620198801063,1.1339465141443898
2008-09-01,1.4686,1.4717,1.4581,1.4588,-0.0056574193988139,-0.0056734832110731,0.1275313031380425,1.1275313031380425,1.2363580151491729,-0.03122999425230037,1.486785,1.5391380000000001,33.66834170854274,0,0.0,0.0,-0.0,1.0638620198801063,1.127531303138052
2008-09-02,1.4616,1.4616,1.4466,1.4516,-0.0049355634768303,-0.0049477835956099,0.1219663008192915,1.1219663008192915,1.2363580151491729,-0.03122999425230037,1.4821149999999998,1.5370319999999997,30.812854442344133,0,0.0,0.0,-0.0,1.0638620198801063,1.121966300819301
2008-09-03,1.4516,1.453,1.4385,1.4491,-0.0017222375310002,-0.0017237222870367,0.1200340083475031,1.120034008347503,1.2363580151491729,-0.03122999425230037,1.477505,1.534686,33.88773388773399,0,0.0,0.0,-0.0,1.0638620198801063,1.1200340083475127
2008-09-04,1.449,1.4545,1.4213,1.4242,-0.0171830791525775,-0.0173324215038541,0.1007883753284892,1.1007883753284893,1.2363580151491729,-0.03122999425230037,1.472095,1.53167,29.71741112123982,0,0.0,0.0,-0.0,1.0638620198801063,1.1007883753284986
2008-09-05,1.424,1.4348,1.4196,1.426,0.001263867434349,0.0012630694262167,0.1021796259081768,1.1021796259081769,1.2363580151491729,-0.03122999425230037,1.46837,1.528604,31.10307414104888,0,0.0,0.0,0.0,1.0638620198801063,1.1021796259081862
2008-09-08,1.4267,1.4429,1.4054,1.4121,-0.0097475455820477,-0.0097953638990349,0.0914360797650326,1.0914360797650329,1.2363580151491729,-0.03122999425230037,1.464515,1.5253379999999999,21.172353455818126,0,0.0,0.0,-0.0,1.0638620198801063,1.0914360797650418
2008-09-09,1.4118,1.4227,1.4047,1.4102,-0.001345513773812,-0.0013464197902661,0.0899675374864732,1.0899675374864732,1.2363580151491729,-0.03122999425230037,1.4604599999999999,1.521954,21.511111111111205,0,0.0,0.0,-0.0,1.0638620198801063,1.0899675374864826
2008-09-10,1.4106,1.4179,1.3954,1.3962,-0.0099276698340659,-0.0099772777486389,0.0791466996444576,1.0791466996444576,1.2363580151491729,-0.03122999425230037,1.4556600000000002,1.5180980000000002,8.003597122302267,0,0.0,0.0,-0.0,1.0638620198801063,1.079146699644467
2008-09-11,1.3964,1.4041,1.3882,1.4016,0.0038676407391489,0.0038601806458257,0.0833204513835206,1.0833204513835206,1.2363580151491729,-0.03122999425230037,1.451735,1.5147380000000001,13.490566037735817,0,0.0,0.0,0.0,1.0638620198801063,1.08332045138353
2008-09-12,1.4019,1.424,1.3973,1.4219,0.0144834474885844,0.0143795642202017,0.0990106662544434,1.0990106662544434,1.2363580151491729,-0.03122999425230037,1.449395,1.5117680000000002,28.244897959183646,0,0.0,0.0,0.0,1.0638620198801063,1.099010666254453
2008-09-15,1.4222,1.4483,1.4085,1.4282,0.0044306913285041,0.0044209047126809,0.1038800432833506,1.1038800432833509,1.2363580151491729,-0.03122999425230037,1.447415,1.508886,34.71986417657044,0,0.0,0.0,0.0,1.0638620198801063,1.1038800432833602
2008-09-16,1.4275,1.4283,1.4073,1.4101,-0.0126732950567147,-0.0127542862718252,0.0898902457876016,1.0898902457876016,1.2363580151491729,-0.03122999425230037,1.44402,1.505754,26.24223602484463,0,0.0,0.0,-0.0,1.0638620198801063,1.0898902457876112
2008-09-17,1.4096,1.4384,1.4095,1.4323,0.0157435642862209,0.015620919942635,0.1070490029370838,1.107049002937084,1.2363580151491729,-0.03122999425230037,1.44192,1.502926,37.483266398929004,0,0.0,0.0,0.0,1.0638620198801063,1.1070490029370936
